Height dropped from (inches),Bounce height (inches),,,Height of Ceiling (inches),Bounce height (inches),,
82,68.5,,,101,78,,
82,62,,,101,78,,
82,64,,,101,77.5,,
58,48.5,,,101,77.5,,
80,57,,,101,75.5,,
58,45,,,101,75,,
63,46,,,101,74.5,,
58,43.5,,,101,74.5,,
58,48.5,,,101,73,,
58,45,,,101,69.5,,
58,43.5,,,,Average height:,Predicted Height based upon class data:,
82,56.5,,,101,75.3,74.021,
82,62,,,,,Using exponential model instead:,
82,67,,,,,77.95660133,(not as accurate)
82,65.5,,,,,,
82,67,,,,,,
82,63.5,,,,,,
82,62.5,,,,,,
82,53,,,,,,
81,56,,,,,,
78,54,,,,,,
81,62,,,,,,
79,57,,,,,,
83,55,,,,,,
84,62,,,,,,
74,59,,,,,,
63,51,,,,,,
52,44,,,,,,
53,45,,,,,,
59.5,47,,,,,,
67,54.5,,,,,,
69.5,53,,,,,,
72.5,53,,,,,,
73.5,59.5,,,,,,
80,65.5,,,,,,
80,63,,,,,,
81,62,,,,,,
70,54.5,,,,,,
75,60,,,,,,
72,57,,,,,,
67,53,,,,,,
77.5,60,,,,,,
65,51,,,,,,
